     addr         pfn  soft-dirty    file/shared    swapped     present
0x71be09ae8000    : 3dc5b8     1          1          0          1         
0x71be09ae9000    : 3dc5b7     1          1          0          1         
0x71be09aea000    : 3dc5aa     1          1          0          1         
0x71be09aeb000    : 3dc5a4     1          1          0          1         
0x71be09aec000    : 3dc59f     1          1          0          1         
0x71be09aed000    : 3dc594     1          1          0          1         
0x71be09aee000    : 3dc58f     1          1          0          1         
0x71be09aef000    : 3dc58d     1          1          0          1         
0x71be09af0000    : 3dc58b     1          1          0          1         
0x71be09af1000    : 3dc57b     1          1          0          1         
0x71be09af2000    : 3dc577     1          1          0          1         
0x71be09af3000    : 3dc573     1          1          0          1         
0x71be09af4000    : 3dc56f     1          1          0          1         
0x71be09af5000    : 3dc559     1          1          0          1         
0x71be09af6000    : 3dc550     1          1          0          1         
0x71be09af7000    : 3dc53c     1          1          0          1         
0x71be09af8000    : 3dc52e     1          1          0          1         
0x71be09af9000    : 3dc529     1          1          0          1         
0x71be09afa000    : 3dc516     1          1          0          1         
0x71be09afb000    : 3dc514     1          1          0          1         
0x71be09afc000    : 3dc513     1          1          0          1         
0x71be09afd000    : 3dc4ef     1          1          0          1         
0x71be09afe000    : 3dc4e5     1          1          0          1         
0x71be09aff000    : 3dc49e     1          1          0          1         
0x71be09b00000    : 3dc45a     1          1          0          1         
0x71be09b01000    : 3dc412     1          1          0          1         
0x71be09b02000    : 3dc400     1          1          0          1         
0x71be09b03000    : 3a79e1     1          1          0          1         
0x71be09b04000    : 3a79e0     1          1          0          1         
0x71be09b05000    : 3a793f     1          1          0          1         
0x71be09b06000    : 3b3403     1          1          0          1         
0x71be09b07000    : 3b3402     1          1          0          1         
0x71be09b08000    : 1a0900     1          1          0          1         
0x71be09b09000    : 1a0901     1          1          0          1         
0x71be09b0a000    : 1a0902     1          1          0          1         
0x71be09b0b000    : 1a0903     1          1          0          1         
0x71be09b0c000    : 1a0904     1          1          0          1         
0x71be09b0d000    : 1a0905     1          1          0          1         
0x71be09b0e000    : 1a0906     1          1          0          1         
0x71be09b0f000    : 1a0907     1          1          0          1         
0x71be09b10000    : 1a0908     1          1          0          1         
0x71be09b11000    : 1a0909     1          1          0          1         
0x71be09b12000    : 1a090a     1          1          0          1         
0x71be09b13000    : 1a090b     1          1          0          1         
0x71be09b14000    : 1a090c     1          1          0          1         
0x71be09b15000    : 1a090d     1          1          0          1         
0x71be09b16000    : 1a090e     1          1          0          1         
0x71be09b17000    : 1a090f     1          1          0          1         
0x71be09b18000    : 1a0910     1          1          0          1         
0x71be09b19000    : 1a0911     1          1          0          1         
0x71be09b1a000    : 1a0912     1          1          0          1         
0x71be09b1b000    : 1a0913     1          1          0          1         
0x71be09b1c000    : 1a0914     1          1          0          1         
0x71be09b1d000    : 1a0915     1          1          0          1         
0x71be09b1e000    : 1a0916     1          1          0          1         
0x71be09b1f000    : 1a0917     1          1          0          1         
0x71be09b20000    : 1a0918     1          1          0          1         
0x71be09b21000    : 1a0919     1          1          0          1         
0x71be09b22000    : 1a091a     1          1          0          1         
0x71be09b23000    : 1a091b     1          1          0          1         
0x71be09b24000    : 1a091c     1          1          0          1         
0x71be09b25000    : 1a091d     1          1          0          1         
0x71be09b26000    : 1a091e     1          1          0          1         
0x71be09b27000    : 1a091f     1          1          0          1         
0x71be09b28000    : 32f9df     1          1          0          1         
0x71be09b29000    : 32f9de     1          1          0          1         
0x71be09b2a000    : 32f9dd     1          1          0          1         
0x71be09b2b000    : 32f9dc     1          1          0          1         
0x71be09b2c000    : 32f9db     1          1          0          1         
0x71be09b2d000    : 32f9da     1          1          0          1         
0x71be09b2e000    : 32f9d9     1          1          0          1         
0x71be09b2f000    : 32f9d8     1          1          0          1         
0x71be09b30000    : 0          1          0          0          0         
0x71be09b31000    : 0          1          0          0          0         
0x71be09b32000    : 0          1          0          0          0         
0x71be09b33000    : 0          1          0          0          0         
0x71be09b34000    : 0          1          0          0          0         
0x71be09b35000    : 0          1          0          0          0         
0x71be09b36000    : 0          1          0          0          0         
0x71be09b37000    : 0          1          0          0          0         
0x71be09b38000    : 0          1          0          0          0         
0x71be09b39000    : 0          1          0          0          0         
0x71be09b3a000    : 0          1          0          0          0         
0x71be09b3b000    : 0          1          0          0          0         
0x71be09b3c000    : 0          1          0          0          0         
0x71be09b3d000    : 0          1          0          0          0         
0x71be09b3e000    : 0          1          0          0          0         
0x71be09b3f000    : 0          1          0          0          0         
0x71be09b40000    : 0          1          0          0          0         
0x71be09b41000    : 0          1          0          0          0         
0x71be09b42000    : 0          1          0          0          0         
0x71be09b43000    : 0          1          0          0          0         
0x71be09b44000    : 0          1          0          0          0         
0x71be09b45000    : 0          1          0          0          0         
0x71be09b46000    : 0          1          0          0          0         
0x71be09b47000    : 0          1          0          0          0         
0x71be09b48000    : 0          1          0          0          0         
0x71be09b49000    : 0          1          0          0          0         
0x71be09b4a000    : 0          1          0          0          0         
0x71be09b4b000    : 0          1          0          0          0         
0x71be09b4c000    : 0          1          0          0          0         
0x71be09b4d000    : 0          1          0          0          0         
0x71be09b4e000    : 0          1          0          0          0         
0x71be09b4f000    : 0          1          0          0          0         
0x71be09b50000    : 0          1          0          0          0         
0x71be09b51000    : 0          1          0          0          0         
0x71be09b52000    : 0          1          0          0          0         
0x71be09b53000    : 0          1          0          0          0         
0x71be09b54000    : 0          1          0          0          0         
0x71be09b55000    : 0          1          0          0          0         
0x71be09b56000    : 0          1          0          0          0         
0x71be09b57000    : 0          1          0          0          0         
0x71be09b58000    : 0          1          0          0          0         
0x71be09b59000    : 0          1          0          0          0         
0x71be09b5a000    : 0          1          0          0          0         
0x71be09b5b000    : 0          1          0          0          0         
0x71be09b5c000    : 0          1          0          0          0         
0x71be09b5d000    : 0          1          0          0          0         
0x71be09b5e000    : 0          1          0          0          0         
0x71be09b5f000    : 0          1          0          0          0         
0x71be09b60000    : 0          1          0          0          0         
0x71be09b61000    : 0          1          0          0          0         
0x71be09b62000    : 0          1          0          0          0         
0x71be09b63000    : 0          1          0          0          0         
0x71be09b64000    : 0          1          0          0          0         
0x71be09b65000    : 0          1          0          0          0         
0x71be09b66000    : 0          1          0          0          0         
0x71be09b67000    : 0          1          0          0          0         
0x71be09b68000    : 0          1          0          0          0         
0x71be09b69000    : 0          1          0          0          0         
0x71be09b6a000    : 0          1          0          0          0         
0x71be09b6b000    : 0          1          0          0          0         
0x71be09b6c000    : 0          1          0          0          0         
0x71be09b6d000    : 0          1          0          0          0         
0x71be09b6e000    : 0          1          0          0          0         
0x71be09b6f000    : 0          1          0          0          0         
0x71be09b70000    : 40c548     1          1          0          1         
0x71be09b71000    : 40c549     1          1          0          1         
0x71be09b72000    : 40c54a     1          1          0          1         
0x71be09b73000    : 40c54b     1          1          0          1         
0x71be09b74000    : 40c54c     1          1          0          1         
0x71be09b75000    : 40c54d     1          1          0          1         
0x71be09b76000    : 40c54e     1          1          0          1         
0x71be09b77000    : 40c54f     1          1          0          1         
0x71be09b78000    : 40c550     1          1          0          1         
0x71be09b79000    : 40c551     1          1          0          1         
0x71be09b7a000    : 40c552     1          1          0          1         
0x71be09b7b000    : 40c553     1          1          0          1         
0x71be09b7c000    : 40c554     1          1          0          1         
0x71be09b7d000    : 40c555     1          1          0          1         
0x71be09b7e000    : 40c556     1          1          0          1         
0x71be09b7f000    : 40c557     1          1          0          1         
0x71be09b80000    : 40c558     1          1          0          1         
0x71be09b81000    : 40c559     1          1          0          1         
0x71be09b82000    : 40c55a     1          1          0          1         
0x71be09b83000    : 40c55b     1          1          0          1         
0x71be09b84000    : 40c55c     1          1          0          1         
0x71be09b85000    : 40c55d     1          1          0          1         
0x71be09b86000    : 40c55e     1          1          0          1         
0x71be09b87000    : 40c55f     1          1          0          1         
0x71be09b88000    : 3756c3     1          1          0          1         
0x71be09b89000    : 3756bb     1          1          0          1         
0x71be09b8a000    : 375695     1          1          0          1         
0x71be09b8b000    : 375682     1          1          0          1         
0x71be09b8c000    : 37566d     1          1          0          1         
0x71be09b8d000    : 37565d     1          1          0          1         
0x71be09b8e000    : 37564e     1          1          0          1         
0x71be09b8f000    : 37564c     1          1          0          1         
0x71be09b90000    : 375645     1          1          0          1         
0x71be09b91000    : 375619     1          1          0          1         
0x71be09b92000    : 3dffd3     1          1          0          1         
0x71be09b93000    : 3dffd2     1          1          0          1         
0x71be09b94000    : 3dff11     1          1          0          1         
0x71be09b95000    : 3dff10     1          1          0          1         
0x71be09b96000    : 3dfe95     1          1          0          1         
0x71be09b97000    : 3dfe94     1          1          0          1         
0x71be09b98000    : 3dff07     1          1          0          1         
0x71be09b99000    : 3dff06     1          1          0          1         
0x71be09b9a000    : 3dffe7     1          1          0          1         
0x71be09b9b000    : 3dffe4     1          1          0          1         
0x71be09b9c000    : 3dff7e     1          1          0          1         
0x71be09b9d000    : 3dff52     1          1          0          1         
0x71be09b9e000    : 3dff4f     1          1          0          1         
0x71be09b9f000    : 0          1          0          0          0         
0x71be09ba0000    : 3dff41     1          1          0          1         
0x71be09ba1000    : 3dff33     1          1          0          1         
0x71be09ba2000    : 3dfefc     1          1          0          1         
0x71be09ba3000    : 3dfee7     1          1          0          1         
0x71be09ba4000    : 3dfead     1          1          0          1         
0x71be09ba5000    : 3dfe99     1          1          0          1         
0x71be09ba6000    : 3dfe92     1          1          0          1         
0x71be09ba7000    : 3dfe7e     1          1          0          1         
0x71be09ba8000    : 3f14ff     1          1          0          1         
0x71be09ba9000    : 3f14fe     1          1          0          1         
0x71be09baa000    : 3f14fd     1          1          0          1         
0x71be09bab000    : 3f14fc     1          1          0          1         
0x71be09bac000    : 3f14fb     1          1          0          1         
0x71be09bad000    : 3f14fa     1          1          0          1         
0x71be09bae000    : 3f14f9     1          1          0          1         
0x71be09baf000    : 3f14f8     1          1          0          1         
0x71be09bb0000    : 3f14f7     1          1          0          1         
0x71be09bb1000    : 3f14f6     1          1          0          1         
0x71be09bb2000    : 3f14f5     1          1          0          1         
0x71be09bb3000    : 3f14f4     1          1          0          1         
0x71be09bb4000    : 3f14f3     1          1          0          1         
0x71be09bb5000    : 3f14f2     1          1          0          1         
0x71be09bb6000    : 3f14f1     1          1          0          1         
0x71be09bb7000    : 3f14f0     1          1          0          1         
0x71be09bb8000    : 3f14ef     1          1          0          1         
0x71be09bb9000    : 3f14ee     1          1          0          1         
0x71be09bba000    : 3f14ed     1          1          0          1         
0x71be09bbb000    : 3f14ec     1          1          0          1         
0x71be09bbc000    : 3f14eb     1          1          0          1         
0x71be09bbd000    : 3f14ea     1          1          0          1         
0x71be09bbe000    : 3f14e9     1          1          0          1         
0x71be09bbf000    : 3f14e8     1          1          0          1         
0x71be09bc0000    : 3f14e7     1          1          0          1         
0x71be09bc1000    : 3f14e6     1          1          0          1         
0x71be09bc2000    : 3f14e5     1          1          0          1         
0x71be09bc3000    : 3f14e4     1          1          0          1         
0x71be09bc4000    : 3f14e3     1          1          0          1         
0x71be09bc5000    : 3f14e2     1          1          0          1         
0x71be09bc6000    : 3f14e1     1          1          0          1         
0x71be09bc7000    : 3f14e0     1          1          0          1         
0x71be09bc8000    : 3f14df     1          1          0          1         
0x71be09bc9000    : 3f14de     1          1          0          1         
0x71be09bca000    : 3f14dd     1          1          0          1         
0x71be09bcb000    : 3f14dc     1          1          0          1         
0x71be09bcc000    : 3f14db     1          1          0          1         
0x71be09bcd000    : 3f14da     1          1          0          1         
0x71be09bce000    : 3f14d9     1          1          0          1         
0x71be09bcf000    : 3f14d8     1          1          0          1         
0x71be09bd0000    : 0          1          0          0          0         
0x71be09bd1000    : 0          1          0          0          0         
0x71be09bd2000    : 0          1          0          0          0         
0x71be09bd3000    : 0          1          0          0          0         
0x71be09bd4000    : 0          1          0          0          0         
0x71be09bd5000    : 0          1          0          0          0         
0x71be09bd6000    : 0          1          0          0          0         
0x71be09bd7000    : 0          1          0          0          0         
0x71be09bd8000    : 0          1          0          0          0         
0x71be09bd9000    : 0          1          0          0          0         
0x71be09bda000    : 0          1          0          0          0         
0x71be09bdb000    : 0          1          0          0          0         
0x71be09bdc000    : 0          1          0          0          0         
0x71be09bdd000    : 0          1          0          0          0         
0x71be09bde000    : 0          1          0          0          0         
0x71be09bdf000    : 0          1          0          0          0         
0x71be09be0000    : 0          1          0          0          0         
0x71be09be1000    : 0          1          0          0          0         
